comp,func,id
system,transport human energy,319
system,transport human material,319
system,transport solid,319
electric switch,actuate electrical,320
gear,change mechanical,320
gear,change mechanical,320
gear,change mechanical,320
gear,change mechanical,320
assembly,convert electrical,320
electric switch,convert human energy,320
wheel,convert magnetic,320
wheel,convert magnetic,320
shaft,convert mechanical,320
hinge,couple solid,320
screw,couple solid,320
screw,couple solid,320
screw,couple solid,320
screw,couple solid,320
screw,couple solid,320
nut-bolt,couple solid,320
wheel,export acoustic,320
carousel,export mechanical,320
shaft,export mechanical,320
blade,export solid,320
carousel,export solid,320
shaft,guide solid,320
shaft,guide solid,320
shaft,guide solid,320
gear,guide solid,320
gear,guide solid,320
housing,guide solid,320
wheel,guide solid,320
assembly,guide solid,320
cover,guide solid,320
electric cord,import electrical,320
cover,import human energy,320
carousel,import solid,320
housing,position solid,320
cover,position solid,320
latch release,position solid,320
housing,position solid,320
cover,position solid,320
guiders,secure solid,320
housing,secure solid,320
lever,secure solid,320
cover,secure solid,320
shaft,secure solid,320
shaft,secure solid,320
latch release,secure solid,320
housing,secure solid,320
assembly,secure solid,320
system,separate control,320
system,separate electrical,320
system,separate human energy,320
system,separate human material,320
system,separate solid,320
electric cord,transfer electrical,320
electric wire,transfer electrical,320
electric wire,transfer electrical,320
shaft,transfer mechanical,320
electric switch,actuate control,355
electric switch,actuate electrical,355
screw,couple solid,355
screw,couple solid,355
screw,couple solid,355
screw,couple solid,355
housing,guide liquid,355
housing,guide solid,355
housing,guide solid,355
housing,guide solid,355
electric cord,import electrical,355
cover,position solid,355
housing,position solid,355
housing,position solid,355
housing,position solid,355
washer,position solid,355
electric switch,regulate control,355
electric switch,regulate electrical,355
latch release,secure solid,355
housing,secure solid,355
flywheel,secure solid,355
blade,separate solid,355
unclassified,separate solid,355
blade,separate solid,355
reservoir,store liquid,355
reservoir,store solid,355
electric switch,transfer electrical,355
electric motor,transfer electrical,355
electric wire,transfer electrical,355
electric wire,transfer electrical,355
flywheel,transfer mechanical,355
electric switch,actuate control,357
electric switch,actuate electrical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
electric motor,convert electrical,357
electric switch,convert human energy,357
electric switch,convert human energy,357
cover,convert human material,357
electric wire,couple solid,357
electric wire,couple solid,357
clamp,couple solid,357
screw,couple solid,357
support,couple solid,357
housing,couple solid,357
housing,couple solid,357
housing,couple solid,357
electric motor,couple solid,357
electric wire,couple solid,357
housing,couple solid,357
screw,couple solid,357
screw,couple solid,357
shaft,couple solid,357
electric wire,couple solid,357
electric switch,couple solid,357
washer,couple solid,357
electric wire,couple solid,357
electric switch,export human material,357
electric switch,export human material,357
positioner,guide solid,357
positioner,guide solid,357
positioner,guide solid,357
housing,guide solid,357
support,guide solid,357
cover,guide solid,357
gear,guide solid,357
gear,guide solid,357
housing,guide solid,357
cover,guide solid,357
cover,guide solid,357
link,guide solid,357
gear,guide solid,357
electric switch,guide solid,357
electric motor,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
shaft,guide solid,357
housing,guide solid,357
spring,guide solid,357
housing,guide solid,357
washer,guide solid,357
electric switch,import human material,357
housing,import human material,357
electric switch,import human material,357
assembly,import solid,357
positioner,position solid,357
battery,position solid,357
electric wire,position solid,357
electric wire,position solid,357
cap,position solid,357
guiders,position solid,357
clamp,position solid,357
housing,position solid,357
support,position solid,357
cover,position solid,357
gear,position solid,357
housing,position solid,357
cover,position solid,357
cover,position solid,357
link,position solid,357
electric switch,position solid,357
gear,position solid,357
gear,position solid,357
shaft,position solid,357
spring,position solid,357
housing,position solid,357
gear,regulate control,357
electric switch,regulate control,357
electric switch,regulate electrical,357
gear,regulate mechanical,357
system,secure electrical,357
system,secure human energy,357
system,secure human material,357
system,secure rotational,357
electric wire,secure solid,357
electric wire,secure solid,357
cap,secure solid,357
blade,secure solid,357
clamp,secure solid,357
system,secure solid,357
housing,secure solid,357
electric motor,secure solid,357
housing,secure solid,357
electric switch,secure solid,357
battery,store electrical,357
battery,supply electrical,357
guiders,transfer control,357
support,transfer control,357
link,transfer control,357
gear,transfer control,357
spring,transfer control,357
housing,transfer control,357
battery,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
assembly,transfer electrical,357
electric motor,transfer electrical,357
electric wire,transfer electrical,357
electric switch,transfer electrical,357
electric wire,transfer electrical,357
blade,transfer mechanical,357
clamp,transfer mechanical,357
gear,transfer mechanical,357
gear,transfer mechanical,357
gear,transfer mechanical,357
gear,transfer mechanical,357
gear,transfer mechanical,357
electric switch,actuate electrical,359
electric motor,change electrical,359
gear,change mechanical,359
gear,change mechanical,359
electric motor,convert electrical,359
cover,couple solid,359
support,couple solid,359
support,couple solid,359
gear,couple solid,359
electric motor,couple solid,359
support,couple solid,359
electric wire,couple solid,359
electric switch,couple solid,359
screw,couple solid,359
screw,couple solid,359
screw,couple solid,359
screw,couple solid,359
screw,couple solid,359
electric wire,couple solid,359
support,couple solid,359
housing,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
electric wire,couple solid,359
gear,guide mechanical,359
support,guide solid,359
gear,guide solid,359
gear,guide solid,359
blade,guide solid,359
electric wire,import electrical,359
system,mix solid,359
system,mix solid-liquid,359
cover,position solid,359
support,position solid,359
support,position solid,359
gear,position solid,359
gear,position solid,359
support,position solid,359
electric wire,position solid,359
support,position solid,359
housing,position solid,359
electric switch,regulate control,359
electric switch,regulate electrical,359
support,secure solid,359
gear,secure solid,359
gear,secure solid,359
blade,secure solid,359
electric switch,secure solid,359
electric switch,secure solid,359
support,secure solid,359
electric motor,transfer electrical,359
electric wire,transfer electrical,359
electric switch,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
electric wire,transfer electrical,359
gear,transfer mechanical,359
gear,transfer mechanical,359
gear,transfer mechanical,359
blade,change gas,364
rotational coupler,change gas,364
wheel,change gas,364
blade,change liquid,364
punch,change liquid,364
bearing,change mechanical,364
shaft,change mechanical,364
wheel,change pneumatic,364
blade,convert mechanical,364
rotational coupler,convert mechanical,364
tube,convert mechanical,364
wheel,convert mechanical,364
transistor,convert radioactive/nuclear,364
circuit board,convert radioactive/nuclear,364
bearing,distribute mechanical,364
blade,distribute mechanical,364
bracket,distribute mechanical,364
unclassified,distribute mechanical,364
cap,distribute mechanical,364
cover,distribute mechanical,364
cover,distribute mechanical,364
link,distribute mechanical,364
key,distribute mechanical,364
punch,distribute mechanical,364
reservoir,distribute mechanical,364
rotational coupler,distribute mechanical,364
support,distribute mechanical,364
tube,distribute mechanical,364
wheel,distribute mechanical,364
shaft,distribute thermal,364
belt,distribute thermal,364
unclassified,distribute thermal,364
cover,distribute thermal,364
cover,distribute thermal,364
divider,distribute thermal,364
shaft,distribute thermal,364
electric wire,distribute thermal,364
unclassified,distribute thermal,364
housing,distribute thermal,364
nut-bolt,distribute thermal,364
key,distribute thermal,364
reservoir,distribute thermal,364
rotational coupler,distribute thermal,364
support,distribute thermal,364
tube,distribute thermal,364
wheel,distribute thermal,364
unclassified,export electrical,364
electric wire,export electrical,364
link,export electrical,364
spring,export electrical,364
airfoil,export gas,364
blade,export gas,364
unclassified,export gas,364
cover,export gas,364
cover,export gas,364
divider,export gas,364
shaft,export gas,364
electric wire,export gas,364
unclassified,export gas,364
housing,export gas,364
punch,export gas,364
reservoir,export gas,364
rotational coupler,export gas,364
spring,export gas,364
tube,export gas,364
wheel,export gas,364
airfoil,export liquid,364
shaft,export liquid,364
bearing,export liquid,364
blade,export liquid,364
bracket,export liquid,364
unclassified,export liquid,364
cover,export liquid,364
cover,export liquid,364
divider,export liquid,364
shaft,export liquid,364
unclassified,export liquid,364
gear,export liquid,364
clamp,export liquid,364
hinge,export liquid,364
link,export liquid,364
material filter,export liquid,364
nut-bolt,export liquid,364
key,export liquid,364
reservoir,export liquid,364
rotational coupler,export liquid,364
rotational coupler,export liquid,364
electric socket,export liquid,364
spring,export liquid,364
support,export liquid,364
reservoir,export liquid,364
tube,export liquid,364
valve,export liquid,364
wheel,export liquid,364
shaft,export mechanical,364
bearing,export mechanical,364
belt,export mechanical,364
unclassified,export mechanical,364
cap,export mechanical,364
cover,export mechanical,364
cover,export mechanical,364
divider,export mechanical,364
shaft,export mechanical,364
electric motor,export mechanical,364
electric wire,export mechanical,364
unclassified,export mechanical,364
fastener,export mechanical,364
gear,export mechanical,364
clamp,export mechanical,364
guiders,export mechanical,364
hinge,export mechanical,364
transistor,export mechanical,364
link,export mechanical,364
nut-bolt,export mechanical,364
key,export mechanical,364
punch,export mechanical,364
reservoir,export mechanical,364
rotational coupler,export mechanical,364
rotational coupler,export mechanical,364
screw,export mechanical,364
solder,export mechanical,364
spring,export mechanical,364
sprocket,export mechanical,364
support,export mechanical,364
tube,export mechanical,364
wheel,export mechanical,364
airfoil,export pneumatic,364
blade,export pneumatic,364
cover,export pneumatic,364
cover,export pneumatic,364
unclassified,export pneumatic,364
reservoir,export pneumatic,364
rotational coupler,export pneumatic,364
tube,export pneumatic,364
wheel,export pneumatic,364
lens,export radioactive/nuclear,364
shaft,export thermal,364
belt,export thermal,364
unclassified,export thermal,364
cover,export thermal,364
cover,export thermal,364
divider,export thermal,364
shaft,export thermal,364
electric wire,export thermal,364
unclassified,export thermal,364
housing,export thermal,364
material filter,export thermal,364
nut-bolt,export thermal,364
key,export thermal,364
punch,export thermal,364
reservoir,export thermal,364
rotational coupler,export thermal,364
electric socket,export thermal,364
spring,export thermal,364
support,export thermal,364
tube,export thermal,364
wheel,export thermal,364
airfoil,guide gas,364
blade,guide gas,364
cover,guide gas,364
cover,guide gas,364
divider,guide gas,364
shaft,guide gas,364
electric wire,guide gas,364
unclassified,guide gas,364
housing,guide gas,364
rotational coupler,guide gas,364
spring,guide gas,364
tube,guide gas,364
wheel,guide gas,364
airfoil,guide liquid,364
blade,guide liquid,364
