comp,func,id
housing,secure solid,307
tube,secure solid,307
reservoir,separate solid-liquid,307
reservoir,store solid,307
housing,store solid-liquid,307
reservoir,store solid-liquid,307
circuit board,store status,307
electric cord,supply electrical,307
tube,transfer solid-liquid,307
tube,transfer solid-liquid,307
heating element,transfer thermal,307
support,transfer thermal,307
actuator,actuate electrical,331
actuator,actuate mechanical,331
system,condition control,331
system,condition electrical,331
system,condition human energy,331
system,condition human material,331
system,condition liquid,331
system,condition solid,331
system,condition status,331
heating element,convert electrical,331
hinge,convert human energy,331
magnitude controller,convert mechanical,331
hinge,convert rotational,331
fastener,couple solid,331
hinge,export acoustic,331
housing,export human energy,331
handle,export human material,331
housing,export human material,331
fan,export liquid-gas,331
housing,export solid-liquid,331
screen,extract liquid-gas,331
screen,extract solid,331
assembly,guide gas,331
assembly,guide gas,331
fan,guide liquid-gas,331
channeler,guide liquid-gas,331
assembly,guide solid,331
bearing,guide solid,331
channeler,guide solid-liquid-gas,331
assembly,guide thermal,331
assembly,guide thermal,331
assembly,import gas,331
handle,import human energy,331
housing,import human energy,331
handle,import human material,331
housing,import human material,331
housing,import solid-liquid,331
abrasive,increment mechanical,331
analog display,indicate mechanical,331
channeler,position solid,331
assembly,position solid,331
assembly,position solid,331
assembly,position solid,331
door,secure solid,331
assembly,secure solid,331
support,secure solid,331
support,secure solid,331
handle,secure solid,331
abrasive,shape solid,331
housing,stabilize solid,331
cover,stabilize solid,331
housing,store gas,331
housing,store human energy,331
housing,store human material,331
belt,store mechanical,331
spring,store mechanical,331
screen,store solid,331
housing,store solid-liquid,331
housing,store thermal,331
spring,supply mechanical,331
electric wire,transfer electrical,331
electric wire,transfer electrical,331
door,transfer human energy,331
handle,transfer human energy,331
heating element,transmit thermal,331
cover,change status,332
indicator light,convert electrical,332
guiders,convert human energy,332
knob,convert human energy,332
screw,couple solid,332
screw,couple solid,332
screw,couple solid,332
screw,couple solid,332
screw,couple solid,332
screw,couple solid,332
screw,couple solid,332
screw,couple solid,332
screw,couple solid,332
screw,couple solid,332
electric wire,distribute electrical,332
cover,export human material,332
cover,export optical,332
cover,guide human material,332
guiders,guide solid,332
bracket,guide solid,332
housing,guide solid-liquid,332
seal,guide solid-liquid,332
seal,guide solid-liquid,332
electric cord,import electrical,332
electric switch,import human energy,332
guiders,import human energy,332
cover,import human material,332
housing,import solid-liquid,332
indicator light,indicate status,332
housing,inhibit thermal,332
washer,position solid,332
bracket,position solid,332
housing,position solid,332
washer,position solid,332
heating element,position solid,332
housing,position solid,332
hydraulic pump,position solid,332
electric switch,position solid,332
washer,position solid,332
container,position solid,332
electric switch,regulate electrical,332
knob,regulate rotational,332
electric switch,regulate rotational,332
housing,secure solid,332
